Second by second output for a Job Scheduler. If a job is completed, the wait time and total execution time for the job are also printed.

Number of jobs: 8



Current second: 0    | Queue Idle


Current second: 1    | Queue Idle


Current second: 2    | Queue Idle


Current second: 3    | Queue Idle


Current second: 4    | Queue Idle


Current second: 63   | Core: 2  |Current job number: 1  |


Current second: 64   | Core: 1  |Current job number: 8  |
Current second: 64   | Core: 2  |Current job number: 1  |


Current second: 65   | Core: 1  |Current job number: 8  |
Current second: 65   | Core: 2  |Current job number: 1  |


Current second: 66   | Core: 1  |Current job number: 8  |
Current second: 66   | Core: 2  |Current job number: 1  |


Current second: 67   | Core: 1  |Current job number: 8  |
Current second: 67   | Core: 2  |Current job number: 1  |


Current second: 68   | Core: 1  |Current job number: 8  |
Current second: 68   | Core: 2  |Current job number: 1  |


Current second: 69   | Core: 1  |Current job number: 8  |
Current second: 69   | Core: 2  |Current job number: 1  |


Current second: 70   | Core: 1  |Current job number: 8  |
Current second: 70   | Core: 2  |Current job number: 1  |


Current second: 71   | Core: 1  |Current job number: 8  |
Current second: 71   | Core: 2  |Current job number: 1  |


Current second: 72   | Core: 1  |Current job number: 8  |
Current second: 72   | Core: 2  |Current job number: 1  |


Current second: 73   | Core: 1  |Current job number: 8  |
Current second: 73   | Core: 2  |Current job number: 1  |


Current second: 74   | Core: 1  |Current job number: 8  |
Current second: 74   | Core: 2  |Current job number: 1  |


Current second: 75   | Core: 1  |Current job number: 8  |
Current second: 75   | Core: 2  |Current job number: 1  |


Current second: 76   | Core: 1  |Current job number: 8  |
Current second: 76   | Core: 2  |Current job number: 1  |


Current second: 77   | Core: 1  |Current job number: 8  |
Current second: 77   | Core: 2  |Current job number: 1  |


Current second: 78   | Core: 1  |Current job number: 8  |
Current second: 78   | Core: 2  |Current job number: 1  |


Current second: 79   | Core: 1  |Current job number: 8  |
Current second: 79   | Core: 2  |Current job number: 1  |


Current second: 80   | Core: 1  |Current job number: 8  |
Current second: 80   | Core: 2  |Current job number: 1  |


Current second: 81   | Core: 1  |Current job number: 8  |
Current second: 81   | Core: 2  |Current job number: 1  |


Current second: 82   | Core: 1  |Current job number: 8  |
Current second: 82   | Core: 2  |Current job number: 1  |


Current second: 83   | Core: 1  |Current job number: 8  |
Current second: 83   | Core: 2  |Current job number: 1  |


Current second: 84   | Core: 1  |Current job number: 8  |
Current second: 84   | Core: 2  |Current job number: 1  |


Current second: 85   | Core: 1  |Current job number: 8  |
Current second: 85   | Core: 2  |Current job number: 1  |


Current second: 86   | Core: 1  |Current job number: 8  |
Current second: 86   | Core: 2  |Current job number: 1  |


Current second: 87   | Core: 1  |Current job number: 8  |
Current second: 87   | Core: 2  |Current job number: 1  |


Current second: 88   | Core: 1  |Current job number: 8  |
Current second: 88   | Core: 2  |Current job number: 1  |


Current second: 89   | Core: 1  |Current job number: 8  |
Current second: 89   | Core: 2  |Current job number: 1  |


Current second: 90   | Core: 1  |Current job number: 8  |
Current second: 90   | Core: 2  |Current job number: 1  |


Current second: 91   | Core: 1  |Current job number: 8  |
Current second: 91   | Core: 2  |Current job number: 1  |


Current second: 92   | Core: 1  |Current job number: 8  |
Current second: 92   | Core: 2  |Current job number: 1  |


Current second: 93   | Core: 1  |Current job number: 8  |
Current second: 93   | Core: 2  |Current job number: 1  |


Current second: 94   | Core: 1  |Current job number: 8  |
Current second: 94   | Core: 2  |Current job number: 1  |


Current second: 95   | Core: 1  |Current job number: 8  |
Current second: 95   | Core: 2  |Current job number: 1  |


Current second: 96   | Core: 1  |Current job number: 8  |
Current second: 96   | Core: 2  |Current job number: 1  |


Current second: 97   | Core: 1  |Current job number: 8  |
Current second: 97   | Core: 2  |Current job number: 1  |


Current second: 98   | Core: 1  |Current job number: 8  |
Current second: 98   | Core: 2  |Current job number: 1  |


Current second: 99   | Core: 1  |Current job number: 8  |
Current second: 99   | Core: 2  |Current job number: 1  |


Current second: 100  | Core: 1  |Current job number: 8  |
Current second: 100  | Core: 2  |Current job number: 1  |


Current second: 101  | Core: 1  |Current job number: 8  |
Current second: 101  | Core: 2  |Current job number: 1  |


Current second: 102  | Core: 1  |Current job number: 8  |
Current second: 102  | Core: 2  |Current job number: 1  |


Current second: 103  | Core: 1  |Current job number: 8  |
Current second: 103  | Core: 2  |Current job number: 1  |


Current second: 104  | Core: 1  |Current job number: 8  |
Current second: 104  | Core: 2  |Current job number: 1  |


Current second: 105  | Core: 1  |Current job number: 8  |
Current second: 105  | Core: 2  |Current job number: 1  |


Current second: 106  | Core: 1  |Current job number: 8  |
Current second: 106  | Core: 2  |Current job number: 1  |


Current second: 107  | Core: 1  |Current job number: 8  |
Current second: 107  | Core: 2  |Current job number: 1  |


Current second: 108  | Core: 1  |Current job number: 8  |
Current second: 108  | Core: 2  |Current job number: 1  |


